Test ID,Release,Module,Submodule / Area,Requirement,Why it matters,Source document,Source section / Test ID,Test type,Priority,Criticality,Fixture / Input,Expected result,Actual result,Status,Bug ID,Evidence,Checked by,Checked at,Developer comment,QA comment,Retest result,Retest date,Notes,Release Gate,Block reason
CH-042,1.0,03 Credit History,Уступка,Код 1705551 даёт две source records и одну lineage,Исходный кредитор и коллектор не должны стать двумя текущими долгами.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.3/§9; CH-042–CH-045,REGRESSION,P0,CRITICAL,"FX-CH-REG-001, chain 1705551",2 immutable records/nodes → 1 lineage; current balance lineage=0; historical max DPD=1 919; predecessor не суммируется.,,NOT_TESTED,,,,,,,,,,RG3;RG8,
CH-046,1.0,03 Credit History,Дедупликация,Две карты с suffix -001 и -003 остаются раздельными,Общий префикс не является доказательством дубля.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.3/§9.2; CH-046,REGRESSION,P0,CRITICAL,FX-CH-REG-001,Две отдельные card lineages; общий кредитор/префикс не запускает merge.,,NOT_TESTED,,,,,,,,,,RG3,
CH-047,1.0,03 Credit History,Дедупликация,Похожие записи без явной связи не merge автоматически,Fuzzy merge может скрыть реальный долг.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§9.2; CH-047–CH-048,NEGATIVE,P0,CRITICAL,"Same lender/amount/date, разные contract IDs",Записи остаются раздельными; ambiguous assignment создаёт manual review; merge только по evidence.,,NOT_TESTED,,,,,,,,,,RG3;RG7,
CH-052,1.0,03 Credit History,История,Реабилитация/закрытие не удаляет historical DPD,Исторические source facts должны сохраняться.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§10.3; CH-052,REGRESSION,P1,HIGH,Collector status «Реабилитирован»,Rehabilitation fact/date сохранены; исторический DPD не удалён; в current delinquency не включён.,,NOT_TESTED,,,,,,,,,,RG3,
CH-053,1.0,03 Credit History,Current vs history,current DPD и lifetime DPD существуют отдельно,Исторический максимум не отвечает на вопрос о текущей просрочке.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §10; CH §10.1–10.3; CH-053,BOUNDARY,P0,CRITICAL,"Active card current DPD=0, lifetime=60",Current profile=0; historical max=60; UI показывает разные поля/карточки.,,NOT_TESTED,,,,,,,,,,RG3;RG8;RG9,
CH-057,1.0,03 Credit History,История,Исторические DPD считаются на source и canonical уровнях отдельно,Количество исторических просрочек без единицы измерения неоднозначно.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§10.2/§11.3; CH-057–CH-059,REGRESSION,P1,HIGH,FX-CH-REG-001,source records historical DPD=8; canonical lineages historical DPD=7; lifetime max DPD=1 919.,,NOT_TESTED,,,,,,,,,,RG3,
CH-061,1.0,03 Credit History,Current vs history,Historical overdue amount не входит в current total,Исторический максимум суммы не является текущим долгом.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§10.1/§10.3; CH-061,REGRESSION,P0,CRITICAL,"current overdue=0, lifetime max amount>0",Current overdue total остаётся 0; историческая сумма хранится отдельно.,,NOT_TESTED,,,,,,,,,,RG3;RG8,
CH-062,1.0,03 Credit History,MFO,Закрытые МФО не становятся активными,Историческое количество микрозаймов не равно текущей нагрузке.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.2/§11.3; CH-062,REGRESSION,P0,CRITICAL,FX-CH-REG-001,MFO source records=24; active MFO=0.,,NOT_TESTED,,,,,,,,,,RG3,
CH-064,1.0,03 Credit History,Заявки,Regression fixture содержит 2 заявки за 30 дней,Заявки и запросы — разные сущности.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§7.4/§11.3; CH-064–CH-066,REGRESSION,P2,MEDIUM,FX-CH-REG-001,application_count_30d=2; разные source IDs не merge по похожести.,,NOT_TESTED,,,,,,,,,,RG3,
CH-067,1.0,03 Credit History,Запросы КИ,Все 130 inquiry rows сохранены,Неполный parsing искажает исторический профиль.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§7.5/§11.3; CH-067,REGRESSION,P1,HIGH,FX-CH-REG-001,Total inquiry rows=130.,,NOT_TESTED,,,,,,,,,,RG3,
CH-068,1.0,03 Credit History,Запросы КИ,Окна запросов 30/90/180 рассчитаны точно,Окна должны быть детерминированы от report timestamp.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§11.1/§11.3; CH-068–CH-071,CALCULATION,P1,HIGH,FX-CH-REG-001,All inquiries 30/90/180 = 1/11/33; creditor=1/11/32; self=0/0/1; UNKNOWN type не становится creditor.,,NOT_TESTED,,,,,,,,,,RG3,
CH-072,1.0,03 Credit History,PKR,Рейтинг бюро хранится как source fact с собственной датой,Старый ПКР не должен стать CASA Score.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§5.3/§11.3; CH-072–CH-073,DATA,P1,HIGH,FX-CH-REG-001,value=636; as_of=08.07.2024; дата отдельно от report_at; UI не называет это оценкой CASA.,,NOT_TESTED,,,,,,,,,,RG3;RG9,
CH-075,1.0,03 Credit History,Correction,Исправление критичной цифры создаёт reviewed revision,Raw source fact нельзя переписывать.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§13.2; CH-075–CH-076,AUDIT,P0,CRITICAL,Payment corrected 8→3,"Raw, parsed, corrected, actor, reason, time и evidence сохранены; создаётся новая profile version; stale edit получает conflict.",,NOT_TESTED,,,,,,,,,,RG3;RG7;RG11,
CH-077,1.0,03 Credit History,Publish gate,Unresolved critical task блокирует snapshot,Неподтверждённый критичный вход нельзя публиковать как точный.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§12.4/§13; CH-077,NEGATIVE,P0,CRITICAL,Unresolved active balance task,SNAPSHOT_GATE_FAILED с task code; подтверждённый snapshot не создаётся.,,NOT_TESTED,,,,,,,,,,RG3;RG7,
CH-078,1.0,03 Credit History,Подлинность,Policy waiver не меняет UNVERIFIED на VERIFIED,Принятие риска не является доказательством подлинности.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.3/§12.4; CH-078,BOUNDARY,P0,CRITICAL,"Authenticity unverified, policy allows acceptance",Snapshot сохраняет unverified status и warning; не переписывает его в VERIFIED.,,NOT_TESTED,,,,,,,,,,RG3;RG9,
CH-082,1.0,03 Credit History,Export,Snapshot/export содержит нейтральные факты без банковского verdict,Credit History Engine не принимает решение банка.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§16/§18.8; CH-082,UX,P0,CRITICAL,Export snapshot,"Факты, current/historical profiles, quality и версии; нет bank verdict, bank KDN, good/bad label или CASA score.",,NOT_TESTED,,,,,,,,,,RG3;RG9,
CH-085,1.0,03 Credit History,Воспроизводимость,Новая версия parser не переписывает старый результат,Регрессия должна сравниваться по версиям.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§6.4; CH-085–CH-086,REGRESSION,P1,HIGH,"Тот же PDF, новая parser version",Новый parse_run и diff; старый snapshot воспроизводим; merge/split создаёт новую link version.,,NOT_TESTED,,,,,,,,,,RG3;RG11,
CH-089,1.0,03 Credit History,UX карты,"Balance, limit и minimum payment показаны отдельно",Три разных показателя не должны визуально сливаться.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §10; CH §14.1; CH-089,UX,P0,CRITICAL,Активная кредитная карта,"Отдельные подписанные значения: текущий остаток/использование, лимит, минимальный платёж; источник каждого доступен.",,NOT_TESTED,,,,,,,,,,RG3;RG9,
CH-090,1.0,03 Credit History,UX статусов,Шапка отчёта показывает четыре независимых статуса,Один badge «Подтверждено» скрывает качество и подлинность.,2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§14.1; CH-090,UX,P0,CRITICAL,FX-CH-REG-001,"Отдельно: файл, подлинность, extraction, reconciliation/review; неподтверждённая подлинность видима.",,NOT_TESTED,,,,,,,,,,RG3;RG9,
AT-CH-UX-001,1.0,03 Credit History,UX current/history,«Текущие обязательства» отделены от «Истории»,Закрытые кредиты и historical DPD не должны выглядеть текущей нагрузкой.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §10; CH §14.1,UX,P0,CRITICAL,FX-CH-REG-001,Две отдельные карточки/раздела; current DPD только в current; lifetime/history только в history.,,NOT_TESTED,,,,,,,,,,RG3;RG9,
AT-CH-UX-002,1.0,03 Credit History,UX evidence,"Критичное значение можно открыть в PDF, подтвердить или исправить",Брокер должен доказать происхождение цифры.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §9; CH §13–14,UX,P0,CRITICAL,Остаток/current DPD/payment,Видны document/page/crop; доступны Confirm или Correct с обязательной причиной и audit.,,NOT_TESTED,,,,,,,,,,RG3;RG7;RG9,
AT-CH-UX-003,1.0,03 Credit History,UX запреты,"Нет «хорошая/плохая КИ», «банк одобрит/откажет» и CASA Score",У блока нет подтверждённого основания для такого verdict.,00_CASA_Pro_MASTER_v1.2.docx; 2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,MASTER §10/§18; CH §14.2/§21.3,UX,P0,CRITICAL,Все экраны и exports Credit History,Запрещённые labels отсутствуют; внутренние error/enum codes не являются основным текстом брокеру.,,NOT_TESTED,,,,,,,,,,RG3;RG9,
AT-CH-SUITE-01,1.0,03 Credit History,Regression suite,Полный набор CH-001…CH-090 трассируется и выполняется,"Definition of Done требует все технические suites, а не только ключевые цифры fixture.",2. CASA_Pro_Credit_History_Engine_Final_Spec_KZ_2026-08-21(4).docx,§18.1–18.8; §21.4; CH-001–CH-090,REGRESSION,P0,CRITICAL,CH automated/manual regression suite,Все применимые CH-001…CH-090 PASS; unsupported templates остаются behind feature flag; evidence сохранено.,,NOT_TESTED,,,,,,,,,,RG3;RG12,
AT-PC-001A,1.0,04 Pension Contributions,Regression fixture,Эталонный документ содержит ровно 2 страницы,Полнота документа — базовый publish gate.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,pages_actual=pages_declared=2; sequence 1/2→2/2.,,NOT_TESTED,,,,,,,,,,RG2;RG4,
AT-PC-001B,1.0,04 Pension Contributions,Regression fixture,Распознано ровно 6 contribution rows,Потеря/дубль строки меняет суммы и месяцы.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1–2.2; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,6 source records; repeated headers/OCR overlays не считаются строками.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-001C,1.0,04 Pension Contributions,Regression fixture,Периоды строк = 01.2026–06.2026,Месяцы нельзя подменять query period из шапки.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1–2.2; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,"Последовательные contribution_period: 2026-01, 02, 03, 04, 05, 06.",,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-001D,1.0,04 Pension Contributions,Regression fixture,Каждая из 6 сумм = 10 000 ₸,Критичные суммы должны сходиться по строкам.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1–2.2; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,"Каждая effective processed row amount=10 000,00 KZT.",,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-001E,1.0,04 Pension Contributions,Regression fixture,CASA-calculated sum = 60 000 ₸,"Это детерминированная сумма строк, не source printed total.",03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.3–2.4; PC-001; PCR-010–PCR-011,CALCULATION,P0,CRITICAL,FX-PC-REG-001,"CASA row-sum=60 000,00 KZT; source_total_check=NOT_APPLICABLE, потому что итог источником не напечатан.",,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-001F,1.0,04 Pension Contributions,Regression fixture,Определён один отправитель,"История отправителей строится по identifier, не имени.",03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1/§8; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,unique_sender_count=1; один masked 12-digit identifier; sender role=CONTRIBUTION_SENDER.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-001G,1.0,04 Pension Contributions,Regression fixture,КНП 010 и source status PROCESSED распознаны для всех строк,Неизвестный код/status нельзя считать положительным ОПВ.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.1/§4; PC-001,REGRESSION,P0,CRITICAL,FX-PC-REG-001,"Каждая строка KNP=010, type=OPV, status=PROCESSED; leading zero сохранён.",,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-001H,1.0,04 Pension Contributions,Regression fixture,Даты строк и страницы соответствуют fixture,Source fact должен вести к точному evidence.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.2; PC-001,REGRESSION,P1,HIGH,FX-PC-REG-001,Получение/отправка/дата документа и pages совпадают с шестью каноническими строками §2.2.,,NOT_TESTED,,,,,,,,,,RG4;RG7,
AT-PC-002,1.0,04 Pension Contributions,Получение,Пенсионный PDF загружается пользователем вручную,Релиз 1.0 не зависит от eGov/ЕНПФ API.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §11/§20; Pension §1.1–1.2,FUNCTIONAL,P0,CRITICAL,Действующее consent + поддерживаемый PDF,Manual upload работает; direct API/login/OTP/ЭЦП отсутствуют.,,NOT_TESTED,,,,,,,,,,RG2;RG4,
AT-PC-003,1.0,04 Pension Contributions,Coverage,Report query period не подменяет доказанное покрытие месяцев,В fixture первая строка относится к месяцу вне начала query period.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.3 A/§7.2; PC-005,BOUNDARY,P0,CRITICAL,FX-PC-REG-001,"query_period_basis=UNKNOWN; covered_month_count=UNKNOWN; показано 6 наблюдаемых месяцев, не «6 из 6 покрытия».",,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-004,1.0,04 Pension Contributions,Missing month,Неизвестный месяц не становится NO_CONTRIBUTION,Отсутствие строки не доказывает отсутствие взноса без coverage.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §11; Pension §7.1–7.2; PC-003–PC-005,BOUNDARY,P0,CRITICAL,"Нет строки за месяц, coverage=UNKNOWN",Month status=UNKNOWN; не NO_CONTRIBUTION и не 0; gap_months не пополняется.,,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-005,1.0,04 Pension Contributions,Sender semantics,Отправитель не становится работодателем автоматически,Пенсионный sender не доказывает трудовые отношения.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §11; Pension §8.1; PC-008,DATA,P0,CRITICAL,Sender prefix «ИП»,UI/snapshot используют «отправитель пенсионных взносов»; employer relation только отдельным reviewed fact.,,NOT_TESTED,,,,,,,,,,RG4;RG6;RG8,
AT-PC-006,1.0,04 Pension Contributions,Income boundary,10 000 ₸ взноса не становится доходом 100 000 ₸,КНП 010 не доказывает режим и ставку.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §11; Pension §4.4/§10.3; PC-019,CALCULATION,P0,CRITICAL,FX-PC-REG-001,estimated_contribution_base=null; estimate_status=UNKNOWN_RATE_CONTEXT; salary/verified income/bank income не создаются.,,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-007,1.0,04 Pension Contributions,KNP,Неизвестный КНП не классифицируется как ОПВ,Название документа не заменяет реестр кодов.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§4.1; PC-025,NEGATIVE,P0,CRITICAL,Unknown KNP,contribution_type=UNKNOWN; manual review; строка не входит в positive totals/base.,,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-008,1.0,04 Pension Contributions,Пеня,Пеня не входит в положительные пенсионные взносы,Penalty не является contribution base.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§4/§4.1; PC-024,NEGATIVE,P0,CRITICAL,KNP 019/009/098,"payment_class=PENALTY; source fact сохранён; исключён из positive totals, months и base.",,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-009,1.0,04 Pension Contributions,Zero/blank,UNKNOWN/blank/explicit zero различаются,Пустая сумма не может стать нулевым взносом.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§5.4; PC-026–PC-027,BOUNDARY,P0,CRITICAL,0 / blank amount,"EXPLICIT_ZERO сохраняется, но не positive; BLANK→null и blocking review; UNKNOWN не превращается в 0.",,NOT_TESTED,,,,,,,,,,RG4;RG8,
AT-PC-010,1.0,04 Pension Contributions,Subject,Документ другого субъекта блокирует snapshot,Пенсионные данные нельзя привязать не тому участнику.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§3.3/§13.1; PC-028,NEGATIVE,P0,CRITICAL,ИИН в PDF не совпадает с participant,SUBJECT_MISMATCH; profile/snapshot не создаётся; безопасный replace flow.,,NOT_TESTED,,,,,,,,,,RG2;RG4,
AT-PC-011,1.0,04 Pension Contributions,Полнота,Пропущенная страница блокирует snapshot,Неполный документ может скрыть строки.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§3.3; PC-029,NEGATIVE,P0,CRITICAL,Отсутствует page 2/2,INCOMPLETE; PCR-001 fail; no snapshot.,,NOT_TESTED,,,,,,,,,,RG2;RG4,
AT-PC-012,1.0,04 Pension Contributions,Безопасность файла,Повреждённый/опасный PDF не запускает extraction,Parser должен быть изолирован.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§3.3; PC-030,SECURITY,P0,CRITICAL,Corrupt PDF,CORRUPT_PDF/QUARANTINED; extraction не начинается; понятная безопасная ошибка.,,NOT_TESTED,,,,,,,,,,RG2;RG4;RG12,
AT-PC-013,1.0,04 Pension Contributions,OCR,OCR disagreement блокирует молчаливый итог,Ошибка x10 в сумме критична.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§6/§6.2; PC-031–PC-033,NEGATIVE,P0,CRITICAL,OCR amount x10 / period 03→08 / sender digit error,Critical review task + evidence; profile/sender resolution не публикуется до исправления.,,NOT_TESTED,,,,,,,,,,RG4;RG7,
AT-PC-014,1.0,04 Pension Contributions,Дубли,Text и OCR одной строки не задваивают сумму,Extraction provenance не должно становиться второй транзакцией.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§6.3; PC-034,REGRESSION,P0,CRITICAL,Text+OCR same bbox,Один source record с двумя extraction provenances; сумма учитывается один раз.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-015,1.0,04 Pension Contributions,Дубли,Exact и semantic duplicates обрабатываются безопасно,Повторная публикация удваивает историю.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§6.3; PC-035–PC-036,REGRESSION,P1,HIGH,Same SHA / resaved semantic duplicate,Exact duplicate возвращает existing version; semantic candidate требует manual resolve и не публикуется дважды.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-016,1.0,04 Pension Contributions,Template,Неизвестный template не разбирается как «похожий»,Closest-template parsing создаёт скрытые ошибки.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§3.2; PC-037,NEGATIVE,P0,CRITICAL,Unknown official PDF layout,UNSUPPORTED_TEMPLATE + SAMPLE_REQUIRED; no snapshot; файл изолирован для sample flow.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-017,1.0,04 Pension Contributions,Подлинность,Непроверенный штрих-код не становится VERIFIED,Наличие изображения не доказывает подпись payload.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§3.4; PC-039,REGRESSION,P0,CRITICAL,FX-PC-REG-001,authenticity_status=BARCODE_PRESENT_UNVERIFIED; отдельный warning; integrity/extraction статусы не меняются.,,NOT_TESTED,,,,,,,,,,RG4;RG9,
AT-PC-018,1.0,04 Pension Contributions,Source warning,"Устаревший legal footer создаёт warning, не автоматический fraud verdict","Несоответствие текста источника требует проверки, а не выдуманного вывода.",03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§2.3 C; PC-040,REGRESSION,P2,MEDIUM,FX-PC-REG-001,SOURCE_LEGAL_TEXT_OUTDATED + NEEDS_REVIEW; документ не объявлен поддельным/недействительным автоматически.,,NOT_TESTED,,,,,,,,,,RG4,
AT-PC-019,1.0,04 Pension Contributions,UX,"Брокер видит месяцы, суммы, отправителя, тип и статус строк",Основные факты fixture должны быть проверяемы без технических кодов.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §11/§18; Pension §11.1–11.2,UX,P0,CRITICAL,FX-PC-REG-001,"6 строк 01–06.2026 по 10 000 ₸, sender, OPV/010, dates/status и source evidence видимы; coverage UNKNOWN показан отдельно.",,NOT_TESTED,,,,,,,,,,RG4;RG9,
AT-PC-020,1.0,04 Pension Contributions,UX review,"Сомнительное поле можно открыть, подтвердить или исправить",Критичные пенсионные факты требуют human verification.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §9; Pension §11.3,UX,P0,CRITICAL,Low confidence amount/KNP/sender/date,Jump-to-evidence; raw/parsed/corrected; correction reason/comment/actor/time; dependent profile recalculated.,,NOT_TESTED,,,,,,,,,,RG4;RG7;RG9,
AT-PC-021,1.0,04 Pension Contributions,UX codes,RATE_CONTEXT_REQUIRED и другие коды переведены на человеческий язык,Брокер не должен расшифровывать внутренние enum/error codes.,00_CASA_Pro_MASTER_v1.2.docx; 03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,MASTER §18; Pension §13,UX,P0,CRITICAL,UNKNOWN_RATE_CONTEXT / RECONCILIATION_FAILED,"Основной текст: «Недостаточно данных, чтобы рассчитать базу» / «Итоги не сошлись»; код остаётся только в деталях.",,NOT_TESTED,,,,,,,,,,RG9,
AT-PC-022,1.0,04 Pension Contributions,Snapshot,Pension snapshot неизменяем и воспроизводим,Downstream не должен перечитывать PDF и менять source facts.,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§12/§13.1/§17,AUDIT,P0,CRITICAL,Confirmed pension facts,Exact document/parser/registry/review/profile versions + input IDs/hash; replay даёт те же metrics; correction создаёт новую version.,,NOT_TESTED,,,,,,,,,,RG4;RG11,
AT-PC-SUITE-01,1.0,04 Pension Contributions,Regression suite,PC-001…PC-040 и PCR-001…PCR-015 трассируются и выполняются,"DoD включает negative/boundary/duplicate/security случаи, не только fixture total.",03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21(5).docx,§6.2; §14; §17; PC-001–PC-040; PCR-001–PCR-015,REGRESSION,P0,CRITICAL,Pension automated/manual regression suite,Все применимые тесты PASS; OPEN gate behavior остаётся UNKNOWN/manual и не преобразуется в автоматический факт.,,NOT_TESTED,,,,,,,,,,RG4;RG12,
CP-001,1.0,05 Client Profile,Динамическая анкета,"Спросить только то, чего CASA ещё не знает",Повторный ввод создаёт расхождения и лишнюю работу брокера.,00_CASA_Pro_MASTER_v1.2.docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,MASTER §13; CP §2/§12; CP-001,UX,P0,CRITICAL,Published IIN/CH/Pension snapshots,"Анкета не просит повторный ИИН, кредиты и пенсионные строки; source badges и evidence доступны.",,NOT_TESTED,,,,,,,,,,RG6,
CP-002,1.0,05 Client Profile,Участники,При отсутствии супруга spouse participant не создаётся,Нельзя собирать лишние персональные данные.,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,§5/§12; CP-002,NEGATIVE,P1,HIGH,marital status without spouse,Spouse participant и блок его доходов отсутствуют.,,NOT_TESTED,,,,,,,,,,RG6,
CP-003,1.0,05 Client Profile,Участники,Супруг не становится созаёмщиком автоматически,Семейная роль не равна роли в ипотечном анализе.,00_CASA_Pro_MASTER_v1.2.docx; 04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,MASTER §13; CP §5; CP-003,DATA,P0,CRITICAL,"Есть spouse, co-borrower не выбран",role=SPOUSE; included_in_analysis=false; его доход не агрегируется.,,NOT_TESTED,,,,,,,,,,RG6;RG8,
CP-004,1.0,05 Client Profile,Участники,Созаёмщик — отдельный participant с отдельным consent,Доходы и обязательства разных людей нельзя смешивать.,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,§5/§12; CP-004–CP-005,FUNCTIONAL,P0,CRITICAL,Один/два созаёмщика,"Отдельные participant IDs, roles, ordinal, consent, employment/income/obligations; ownership не смешивается.",,NOT_TESTED,,,,,,,,,,RG1;RG6,
CP-006,1.0,05 Client Profile,Занятость,Один участник может иметь несколько работ,Одна запись employment не покрывает реальную структуру занятости.,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,§6; CP-006,FUNCTIONAL,P1,HIGH,Два места работы одного participant,Созданы две независимые employment records с периодами/status/evidence.,,NOT_TESTED,,,,,,,,,,RG6,
CP-007,1.0,05 Client Profile,Доходы,Один участник может иметь несколько источников дохода,Работа и доход — разные сущности.,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,§7; CP-007/CP-013–CP-015,FUNCTIONAL,P1,HIGH,Salary + rental/business/housing payment,Каждый income_source хранится отдельно с owner/type/periodicity/status/evidence.,,NOT_TESTED,,,,,,,,,,RG6,
CP-008,1.0,05 Client Profile,Pension relation,Pension sender ↔ employer только как candidate reviewed relation,Совпадение имени не доказывает занятость.,04_CASA_Pro_Client_Profile_Final_Spec_KZ_2026-08-21(2).docx,§6; CP-008–CP-009,BOUNDARY,P0,CRITICAL,Sender совпадает/не совпадает с employer,Candidate или CONFLICT; sender source fact не переименован; relationship требует подтверждения.,,NOT_TESTED,,,,,,,,,,RG6;RG8,
