module_id,code,type,internal_meaning,broker_text_ru,condition,allowed_action,blocked_action,downstream_effect,source_document,source_section
M03,UI,ERROR,В current card: current count/max. В History: lifetime max и события. Подписи не взаимозаменяемы.,В current card: current count/max. В History: lifetime max и события. Подписи не взаимозаменяемы.,В current card: current count/max. В History: lifetime max и события. Подписи не взаимозаменяемы.,AT-CH-UX-001; CH-089/090 context.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§9 Просрочки — UI и контроль ошибки
M03,Regression,ERROR,FX-CH-REG-001 обязан дать active_current_delinquency_count=0 и max_current_dpd=0 при historical max=1919.,FX-CH-REG-001 обязан дать active_current_delinquency_count=0 и max_current_dpd=0 при historical max=1919.,FX-CH-REG-001 обязан дать active_current_delinquency_count=0 и max_current_dpd=0 при historical max=1919.,AT-CH-BUG-001 / BUG-CH-001.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§9 Просрочки — UI и контроль ошибки
M03,Snapshot,ERROR,Оба значения и evidence/version фиксируются отдельно; UNKNOWN блокирует уверенный ноль.,Оба значения и evidence/version фиксируются отдельно; UNKNOWN блокирует уверенный ноль.,Оба значения и evidence/version фиксируются отдельно; UNKNOWN блокирует уверенный ноль.,"CH-040, CH-077.",,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§9 Просрочки — UI и контроль ошибки
M03,0 / EXPLICIT_ZERO,QUALITY,Источник явно напечатал ноль.,Можно использовать как 0 при валидной currency/семантике; показать «0».,Источник явно напечатал ноль.,Можно использовать как 0 при валидной currency/семантике; показать «0».,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,UNKNOWN,QUALITY,Недостаточно факта или контекста.,Не участвует как 0; итог UNKNOWN с причиной.,Недостаточно факта или контекста.,Не участвует как 0; итог UNKNOWN с причиной.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,BLANK,QUALITY,Ячейка/поле пусты.,amount=null; нужно определить семантику.,Ячейка/поле пусты.,amount=null; нужно определить семантику.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,UNREADABLE,QUALITY,"Значение есть, но не читается.",Review/evidence; не подставлять догадку.,"Значение есть, но не читается.",Review/evidence; не подставлять догадку.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,NOT_APPLICABLE,QUALITY,Поле неприменимо по утверждённому template dictionary.,Не считать отсутствующей ошибкой и не подставлять 0.,Поле неприменимо по утверждённому template dictionary.,Не считать отсутствующей ошибкой и не подставлять 0.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,NOT_IN_TEMPLATE,QUALITY,В этом макете поля нет.,Не выдавать как source fact.,В этом макете поля нет.,Не выдавать как source fact.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,Пусто в UI,QUALITY,Технически не загружено/не отрисовано.,Не использовать как бизнес-состояние; показывать понятную метку.,Технически не загружено/не отрисовано.,Не использовать как бизнес-состояние; показывать понятную метку.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§12 UNKNOWN и качество данных
M03,MANUAL_REVIEW_REQUIRED,STATE,«Нужно проверить данные вручную»,"Да, если critical",«Нужно проверить данные вручную»,Открыть задачи,"Да, если critical",,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,RECONCILIATION_FAILED,STATE,«Итоги отчёта не сходятся»,"Да, affected profile",«Итоги отчёта не сходятся»,Проверить отмеченные поля,"Да, affected profile",,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,AMBIGUOUS_CURRENT_NODE,STATE,"«Неясно, какая запись по долгу актуальна»",Да,"«Неясно, какая запись по долгу актуальна»",Выбрать узел с evidence/reason,Да,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,AUTHENTICITY_UNVERIFIED,STATE,«Подлинность копии не подтверждена»,По policy; статус не менять,«Подлинность копии не подтверждена»,Ручная проверка/acceptance,По policy; статус не менять,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,SUBJECT_MISMATCH,STATE,«Отчёт относится к другому человеку»,Да,«Отчёт относится к другому человеку»,Заменить PDF,Да,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,MISSING_PAGE / PAGE_SEQUENCE_INVALID,STATE,«Не хватает страниц или нарушен их порядок»,Да,«Не хватает страниц или нарушен их порядок»,Загрузить полный PDF,Да,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,NULL_ZERO_AMBIGUOUS,STATE,«Неясно: значение отсутствует или равно нулю»,"Да, если critical",«Неясно: значение отсутствует или равно нулю»,Проверить поле,"Да, если critical",,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,ASSIGNMENT_LINK_AMBIGUOUS,STATE,«Неясна связь записей после уступки»,Да,«Неясна связь записей после уступки»,Связать/оставить раздельно,Да,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,MONEY_TOTAL_MISMATCH,STATE,«Суммы не сходятся»,"Да, affected total",«Суммы не сходятся»,Открыть сверку,"Да, affected total",,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,SNAPSHOT_GATE_FAILED,STATE,«Снимок пока нельзя создать»,Да,«Снимок пока нельзя создать»,Закрыть перечисленные задачи,Да,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,Внутренние коды → понятный текст
M03,Целостность файла,QUALITY,PDF технически цел и не изменился?,VALID/CORRUPT/HASH_MISMATCH/UNREADABLE → «Файл исправен» или понятная ошибка.,PDF технически цел и не изменился?,VALID/CORRUPT/HASH_MISMATCH/UNREADABLE → «Файл исправен» или понятная ошибка.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M03,Шаблон,QUALITY,Известны issuer/report kind/layout и обязательные sections?,Распознан / SAMPLE_REQUIRED / unsupported; не closest-template guess.,Известны issuer/report kind/layout и обязательные sections?,Распознан / SAMPLE_REQUIRED / unsupported; не closest-template guess.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M03,Подлинность,QUALITY,Есть доказательство выдачи заявленным бюро?,Есть доказательство выдачи заявленным бюро?,Есть доказательство выдачи заявленным бюро?,VERIFIED_SIGNATURE / VERIFIED_BUREAU_MANUAL / UNVERIFIED / FAILED / UNKNOWN.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M03,Извлечение,QUALITY,Текст/таблицы считаны корректно?,Текст/таблицы считаны корректно?,Текст/таблицы считаны корректно?,PASS / PASS_WITH_REVIEW / NEEDS_REVIEW / FAILED.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M03,Сверка,QUALITY,"Страницы, записи, суммы, связи и итоги согласуются?","Страницы, записи, суммы, связи и итоги согласуются?","Страницы, записи, суммы, связи и итоги согласуются?",PASS / PASS_WITH_REVIEW / FAIL / UNKNOWN.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M03,Ручная проверка,QUALITY,Критичные факты приняты/исправлены человеком?,Критичные факты приняты/исправлены человеком?,Критичные факты приняты/исправлены человеком?,NOT_STARTED / IN_PROGRESS / COMPLETED / policy waiver.,,,M03_CASA_Pro_Credit_History_Implementation_and_Acceptance_v1.1,§16 Подлинность / полнота / сверка
M04,VERIFIED_PDF_SIGNATURE,QUALITY,Встроенная криптографическая подпись успешно проверена по approved trust policy,автоматически только после RG-02,Встроенная криптографическая подпись успешно проверена по approved trust policy,автоматически только после RG-02,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§3.4 Подлинность — отдельна от целостности и OCR
M04,VERIFIED_EGOV_MANUAL,QUALITY,Уполномоченный reviewer проверил документ официальным сервисом и сохранил receipt/reference,Уполномоченный reviewer проверил документ официальным сервисом и сохранил receipt/reference,Уполномоченный reviewer проверил документ официальным сервисом и сохранил receipt/reference,manual SOP,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§3.4 Подлинность — отдельна от целостности и OCR
M04,BARCODE_PRESENT_UNVERIFIED,QUALITY,"Штрих-код виден/извлечён, но не декодирован и подпись payload не проверена","Штрих-код виден/извлечён, но не декодирован и подпись payload не проверена","Штрих-код виден/извлечён, но не декодирован и подпись payload не проверена",fixture,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§3.4 Подлинность — отдельна от целостности и OCR
M04,UNKNOWN,QUALITY,Нет применимого механизма,Нет применимого механизма,Нет применимого механизма,review/waiver by policy,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§3.4 Подлинность — отдельна от целостности и OCR
M04,FAILED,QUALITY,Официальная/криптографическая проверка дала отрицательный результат,Официальная/криптографическая проверка дала отрицательный результат,Официальная/криптографическая проверка дала отрицательный результат,snapshot blocked,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§3.4 Подлинность — отдельна от целостности и OCR
M04,ОБРАБОТАННЫЕ,STATE,PROCESSED,,PROCESSED,effective positive contribution only if amount > 0 and class=CONTRIBUTION,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§4.2 Source status и effect
M04,ВОЗВРАТ/СТОРНО/ОТОЗВАНО,STATE,RETURNED/REVERSED,SOURCE_FACT; не уменьшать/увеличивать без signed mapping and linked original,RETURNED/REVERSED,SOURCE_FACT; не уменьшать/увеличивать без signed mapping and linked original,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§4.2 Source status и effect
M04,ОТКЛОНЕНО/НЕ ОБРАБОТАНО,STATE,REJECTED,не считать поступлением,REJECTED,не считать поступлением,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§4.2 Source status и effect
M04,неизвестно,STATE,UNKNOWN,,UNKNOWN,MANUAL_REVIEW; month may become UNKNOWN,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§4.2 Source status и effect
M04,source_status_raw,QUALITY,string,Напечатанное значение,string,Да,Напечатанное значение,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,source_status,QUALITY,enum,Да,enum,Да,PROCESSED/RETURNED/REVERSED/REJECTED/UNKNOWN,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,processing_effect,QUALITY,enum,Да,enum,Да,EFFECTIVE/EXCLUDED/UNKNOWN,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,direction,QUALITY,enum,CREDIT/DEBIT/UNKNOWN; не выводить из знака без rule,enum,Нет,CREDIT/DEBIT/UNKNOWN; не выводить из знака без rule,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,row_fingerprint,QUALITY,sha256,Да,sha256,Да,Full reviewed field tuple,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,duplicate_status,QUALITY,enum,Да,enum,Да,UNIQUE/EXTRACTION_DUPLICATE/CANDIDATE/CONFIRMED,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,duplicate_of_record_id,QUALITY,string?,Только deterministic/reviewer decision,string?,Нет,Только deterministic/reviewer decision,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,correction_or_return_reference,QUALITY,string?,Нет,string?,Нет,Link to original if source proves,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,source_page,QUALITY,integer,Да,integer,Да,1…document.page_count,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,source_bbox,QUALITY,BBox,Да,BBox,Да,Normalized x/y/w/h + rotation,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,evidence_id,QUALITY,string,Да,string,Да,Encrypted crop/text span; evidence hash,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,critical_field_status,QUALITY,enum,Да,enum,Да,PASS/NEEDS_REVIEW/FAILED,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,row_review_status,QUALITY,enum,Да,enum,Да,EXTRACTED/NEEDS_REVIEW/ACCEPTED/CORRECTED/REJECTED,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,reviewer_decision_id,QUALITY,string?,Нет,string?,Нет,Reason + actor + timestamp + before/after hash,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,registry_versions,QUALITY,object,Да,object,Да,template/KNP/status/rate dictionaries,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§5.3 contribution_record — quality, effect и evidence"
M04,coverage=PERIOD_NOT_COVERED,STATE,PERIOD_NOT_COVERED,не создавать пропуск,PERIOD_NOT_COVERED,не создавать пропуск,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,coverage=UNKNOWN и нет доказанных positive rows,STATE,UNKNOWN,не NO_CONTRIBUTION,UNKNOWN,не NO_CONTRIBUTION,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,есть unresolved critical row в месяце,STATE,UNKNOWN,,UNKNOWN,review before aggregation,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,≥2 effective positive contribution rows,STATE,MULTIPLE_CONTRIBUTIONS,,MULTIPLE_CONTRIBUTIONS,aggregate by type/sender; retain rows,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,ровно 1 effective positive contribution row,STATE,CONTRIBUTION_PRESENT,,CONTRIBUTION_PRESENT,amount > 0; recognized contribution type,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,"coverage=COVERED и 0 effective positive rows, no unknowns",STATE,NO_CONTRIBUTION,только здесь,NO_CONTRIBUTION,только здесь,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§7.1 Deterministic status algorithm
M04,Всегда,STATE,subject IIN/FIO match; issuer/type; document no; query period; received_at; pages 1…N,,subject IIN/FIO match; issuer/type; document no; query period; received_at; pages 1…N,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,Всегда в launch calibration,STATE,row count; CASA-calculated total; first/last month; unique senders; all critical row fields,,row count; CASA-calculated total; first/last month; unique senders; all critical row fields,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,После template calibration,STATE,summary confirmation + every flagged critical field; random QA sample per policy,,summary confirmation + every flagged critical field; random QA sample per policy,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,При low confidence/mismatch,STATE,"contribution_period, amount, sender name/id, KNP/type, received/sent/document dates",,"contribution_period, amount, sender name/id, KNP/type, received/sent/document dates",,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,При authenticity not verified,STATE,manual eGov/issuer verification reference or explicit allowed waiver,,manual eGov/issuer verification reference or explicit allowed waiver,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,При coverage UNKNOWN,STATE,не разрешать reviewer вручную объявить отсутствующие месяцы без external evidence,не разрешать reviewer вручную объявить отсутствующие месяцы без external evidence,не разрешать reviewer вручную объявить отсутствующие месяцы без external evidence,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,При correction,STATE,raw stays; corrected value + reason code + comment + actor + evidence,,raw stays; corrected value + reason code + comment + actor + evidence,,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,NOT_UPLOADED,STATE,Нет документа,Загрузить PDF,Нет документа,Загрузить PDF,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,CONSENT_REQUIRED,STATE,Нет/отозвано согласие,Нет/отозвано согласие,Нет/отозвано согласие,Upload/parse disabled,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,UPLOADING / QUARANTINED,STATE,Техническая обработка,Техническая обработка,Техническая обработка,Progress; no results yet,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,PROCESSING,STATE,Text/OCR/reconciliation,,Text/OCR/reconciliation,Page/row progress,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,VALID,STATE,Технические и автоматические checks pass,Технические и автоматические checks pass,Технические и автоматические checks pass,Review summary,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,NEEDS_REVIEW,STATE,Critical unknown/mismatch/authenticity/coverage task,,Critical unknown/mismatch/authenticity/coverage task,Open task,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,SUBJECT_MISMATCH,STATE,Другой ИИН,Другой ИИН,Другой ИИН,Replace PDF; snapshot blocked,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,INCOMPLETE,STATE,Page missing/sequence invalid,,Page missing/sequence invalid,Upload complete document,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,UNSUPPORTED_TEMPLATE,STATE,Нет approved template,Нет approved template,Нет approved template,SAMPLE_REQUIRED,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,CONFIRMED,STATE,Reviewer closed blocking tasks,,Reviewer closed blocking tasks,Publish snapshot,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,STALE,STATE,age_days > configured TTL,,age_days > configured TTL,Upload newer document,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,FAILED,STATE,Corrupt/unsafe/unreadable/failed authenticity,,Corrupt/unsafe/unreadable/failed authenticity,Code + safe retry,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,SUPERSEDED,STATE,Есть новая document version,Есть новая document version,Есть новая document version,Read-only history,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,§11.3 Reviewer confirmation и состояния
M04,POST,ERROR,/api/v2/cases/{caseId}/pension-documents,,/api/v2/cases/{caseId}/pension-documents,Upload metadata + signed upload intent,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,GET,ERROR,/api/v2/pension-documents/{id}/review,,/api/v2/pension-documents/{id}/review,Header/rows/months/senders/tasks/evidence refs,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,PATCH,ERROR,/api/v2/pension-records/{id},,/api/v2/pension-records/{id},Reviewed correction with If-Match + reason,,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,INVALID_FILE / CORRUPT_PDF,ERROR,422,,422,No,Replace file,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,MALWARE_DETECTED,ERROR,422,,422,No,Quarantine; security workflow,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,PDF_PASSWORD_REQUIRED,ERROR,422,,422,No,Upload unlocked official copy,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,SUBJECT_MISMATCH,ERROR,409,,409,No,Replace PDF; minimal PII incident log,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,INCOMPLETE_DOCUMENT,ERROR,422,,422,No,Upload all pages,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,UNSUPPORTED_TEMPLATE,ERROR,422,,422,No,SAMPLE_REQUIRED,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,EXACT_DUPLICATE,ERROR,200,,200,Existing only,Return existing version,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,SEMANTIC_DUPLICATE_REVIEW,ERROR,200,,200,No new publish,Resolve relationship,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,CRITICAL_FIELD_UNREADABLE,ERROR,200,,200,No,Manual correction/evidence,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,UNKNOWN_KNP / UNKNOWN_STATUS,ERROR,200,,200,Policy,MANUAL_REVIEW; no OPV default,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,RECONCILIATION_FAILED,ERROR,200,,200,No,Show PCR check IDs,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,AUTHENTICITY_UNVERIFIED,ERROR,200,,200,Policy,Manual verification/explicit waiver,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,AUTHENTICITY_FAILED,ERROR,409,,409,No,Replace/verify incident,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,REPORT_STALE,ERROR,200,,200,Policy,Newer PDF; show age_days,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,SNAPSHOT_GATE_FAILED,ERROR,409,,409,No,Return unresolved gate codes,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,REVIEW_CONFLICT,ERROR,409,,409,No,Reload current revision,,03_CASA_Pro_Pension_Contribution_Engine_Final_Spec_KZ_2026-08-21,"§13 API, gates и ошибки"
M04,0 / EXPLICIT_ZERO,QUALITY,Источник явно печатает 0.,«0 ₸ в источнике»; row не positive; month UNKNOWN/review.,Источник явно печатает 0.,«0 ₸ в источнике»; row не positive; month UNKNOWN/review.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,UNKNOWN,QUALITY,Presence/meaning нельзя установить.,«Не удалось определить»; не участвует как 0.,Presence/meaning нельзя установить.,«Не удалось определить»; не участвует как 0.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,BLANK,QUALITY,Ячейка пустая; normalized=null.,«Поле пустое в документе»; critical → blocking review.,Ячейка пустая; normalized=null.,«Поле пустое в документе»; critical → blocking review.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,UNREADABLE,QUALITY,"Зона есть, но не распознана.",«Значение не читается»; открыть crop / исправить.,"Зона есть, но не распознана.",«Значение не читается»; открыть crop / исправить.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,NOT_APPLICABLE,QUALITY,Поле неприменимо по semantics.,«Не применяется»; не 0 и не ошибка.,Поле неприменимо по semantics.,«Не применяется»; не 0 и не ошибка.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,NOT_IN_TEMPLATE,QUALITY,Поддержанный template не содержит поле.,«В этом типе документа поле не предусмотрено».,Поддержанный template не содержит поле.,«В этом типе документа поле не предусмотрено».,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,NO_ROW_OBSERVED,QUALITY,В наблюдаемой выборке нет строки месяца.,Не «0 ₸» и не NO_CONTRIBUTION без COVERED.,В наблюдаемой выборке нет строки месяца.,Не «0 ₸» и не NO_CONTRIBUTION без COVERED.,,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§13 UNKNOWN и качество данных
M04,MANUAL_REVIEW_REQUIRED,STATE,«Нужно проверить данные вручную».,"Да, если task critical.",«Нужно проверить данные вручную».,Открыть конкретную задачу и evidence.,"Да, если task critical.",,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,RATE_CONTEXT_REQUIRED / UNKNOWN_RATE_CONTEXT,STATE,"«Недостаточно данных, чтобы рассчитать базу по пенсионным отчислениям».",Только dependent estimate; факты — по policy.,"«Недостаточно данных, чтобы рассчитать базу по пенсионным отчислениям».",Проверить category/regime или оставить UNKNOWN.,Только dependent estimate; факты — по policy.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
M04,SAMPLE_REQUIRED,STATE,«Этот вариант документа пока не поддерживается».,Да для template/mapping.,«Этот вариант документа пока не поддерживается».,Approved обезличенный sample flow.,Да для template/mapping.,,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§16 Внутренние коды → язык брокера
