task_id,module_id,order_no,task,backend,frontend,data,parser,qa,security,product_or_legal_dependency,priority,source_document,source_section,acceptance_test,release_gate,definition_of_done,status,developer_comment
M04-TASK-010,M04,10,Убрать лимит кредитных платежей 50 000,Remove pension calculation/output,Remove field/copy,N/A,N/A,Contract/UI absence regression,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-006/019,,Pension API/UI/snapshot contain no KDN/payment-limit output.,TODO,
M04-TASK-011,M04,11,Считать CASA total отдельно от source total,Decimal row sum; source total presence,Label «Сумма найденных строк»,Include only effective positive rows,Include only effective positive rows,PC-001/024/026/027,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001D/E/008/009,,60 000 exact; source_total_check=NOT_APPLICABLE.,TODO,
M04-TASK-012,M04,12,Реализовать returns/corrections effect gate,Link original; effect UNKNOWN until mapping,Human review task,Preserve source row,Preserve source row,PC-024/Status samples,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-008/SUITE-01,,No unsigned add/subtract; unresolved status excluded and reviewed.,TODO,
M04-TASK-013,M04,13,Не задваивать text/OCR и реальные строки,Exact bbox provenance + semantic candidate workflow,Show duplicate task,Same bbox one record; same amount not auto-merge,Same bbox one record; same amount not auto-merge,PC-006/034…036,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-014/015,,Totals count each real row once; candidate blocks duplicate publish.,TODO,
M04-TASK-014,M04,14,Добавить таблицу source rows,Review endpoint returns rows/sender/evidence,Month/date/amount/type-KNP/sender/status/action,All fixture cells,All fixture cells,UI exact row test,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-001B…H/019,,Six rows visible; no horizontal scroll for key columns on desktop.,TODO,
M04-TASK-015,M04,15,Добавить evidence viewer,Signed/authz evidence refs; page/bbox/crop/hash,Open source/crop from field,Evidence for every critical field,Evidence for every critical field,Cross-tenant + crop tests,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-013/020,,Amount/KNP/sender/date jumps to exact source; PII-safe access.,TODO,
M04-TASK-016,M04,16,Добавить Confirm/Correct для critical fields,Reviewed revision + reason/actor/time/If-Match,Unified review component,Raw preserved,Raw preserved,Correction/recompute/conflict,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-020/022,,Before/after/reason/audit saved; dependencies and version updated.,TODO,
M04-TASK-017,M04,17,Собрать блок «Нужно проверить»,Task API with blocking/owner/state/evidence,Only unresolved tasks; human copy,Emit critical mismatches/UNKNOWN,Emit critical mismatches/UNKNOWN,Task lifecycle,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-020/021,,Resolved tasks leave active list; no raw enum as primary text.,TODO,
M04-TASK-018,M04,18,Реализовать PCR-001…PCR-015,Deterministic checks + PASS/FAIL/NA/WAIVED + inputs,Human discrepancy details,Parser evidence inputs,Parser evidence inputs,Full PCR suite,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-SUITE-01,,Blocking checks gate publish; replay reproduces checks.,TODO,
M04-TASK-019,M04,19,Реализовать publish snapshot gate,Immutable schema/hash/versions/evidence manifest,CTA «Подтвердить факты и создать снимок»,Exact source/review versions,Exact source/review versions,Publish/replay/supersede,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-022,,No blocker; snapshot replay identical; correction creates new snapshot.,TODO,
M04-TASK-020,M04,20,"Защитить tenant, consent, PII и audit",ACL/purpose/log redaction/admin support mode,Safe error messages,No PII in parser logs,No PII in parser logs,Isolation/audit/security,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-002/010/012/022,,Cross-tenant denied; access/review/publish audited; dev/test anonymized.,TODO,
M04-TASK-021,M04,21,Прогнать full regression and acceptance,Stable test hooks/fixtures,UI evidence screenshots,PC-001…040 gold set,PC-001…040 gold set,All AT-PC + PCR,,,P0,M04_CASA_Pro_Pension_Implementation_and_Acceptance_v1.0,§24 Конкретный список работ Даулету,AT-PC-SUITE-01,,All applicable tests PASS; open gates remain explicit UNKNOWN/manual fallback.,TODO,
M05-TASK-001,M05,1,Зафиксировать M05 boundary,Service/module guard; reject bank fields,Human boundary copy,Contract allowlist,,Schema/output negative tests,,Нет,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-035,,No Bank Rules/KDN/CASA Score/raw PDF,TODO,
M05-TASK-002,M05,2,Подключить M01 context,Resolve tenant/case/participant/identity/consent preflight,Show participant/consent blockers,M01 refs only,,Mismatch/cross-tenant,,M01 approvals,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-004/033,,No parallel client/auth/consent model,TODO,
M05-TASK-003,M05,3,Подключить M02 client_check_batch,"Read selected batch_id/version, coverage, results/facts, quality/freshness",Autodata card + source viewer,iin_check_batch_id → client_check_batch.batch_id; no source copy,,Partial/unknown/stale,,Нет,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-001/032/035,,No IIN snapshot entity; no repeat IIN/source questions,TODO,
M05-TASK-004,M05,4,Подключить M03 snapshot,Read published chs ID/hash/quality,Credits read-only,Lineage/evidence refs,,Manual duplicate spy=0,,Нет,M03 §17; CP §12,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,No PDF reread; obligations immutable,,,TODO,
M05-TASK-005,M05,5,Подключить M04 snapshot,Read pension ID/hash/rows/senders/quality,Read-only pension facts,Sender/evidence refs,,No amount/month duplicate,,Нет,M04 §18; CP §2,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,Sender stays CONTRIBUTION_SENDER,,,TODO,
M05-TASK-006,M05,6,Создать client_profile aggregate,Case-scoped read/write model + optimistic concurrency,Section shell/status,Logical profile + version refs,,Idempotency/concurrency,,RG-CP-01/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,AT-CP-SUITE-001,RG-CP-01,One current draft; history preserved,TODO,
M05-TASK-007,M05,7,Реализовать purchase_goal,GET/PATCH fields + If-Match,Goal section,Versioned goal,,UNKNOWN/date/range,,RG-CP-01/04,P1,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-032,RG-CP-01,Preference not eligibility; reconciliation input exact,TODO,
M05-TASK-008,M05,8,Собрать participant/household,M01 participants + household state,Separate roles/included,Ordinal/relationship refs,,No spouse/multi co-borrower,,Role registry,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-002…005,,No data/consent mixing,TODO,
M05-TASK-009,M05,9,Реализовать employment records,CRUD with owner/access/version,Multi-employment cards,Exact enums/dates/status,,2 jobs/leave/probation,,RG-CP-04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-006/010,RG-CP-04,Independent records; no accepted income,TODO,
M05-TASK-010,M05,10,Реализовать income_source,CRUD separate from employment,Add source/status/evidence,Type/amount/periodicity/method/status,,Salary+rental/business,,RG-CP-03/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-007/011…016,RG-CP-03,Multiple sources; no bank acceptance,TODO,
M05-TASK-011,M05,11,Разделить declared/verified,Policy-versioned verifier,Human badges,Declared/verified amounts,,Evidence missing/invalid,,RG-CP-03,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-011/012,RG-CP-03,VERIFIED only allowed policy; bank field absent,TODO,
M05-TASK-012,M05,12,Разделить business и turnover,Separate semantic fields/validation,Clear labels,BUSINESS evidence refs,,Tax/turnover fixture,,RG-CP-03/04,P1,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-013,RG-CP-03,Turnover never copied as income,TODO,
M05-TASK-013,M05,13,Создать sender→employment relation,Candidate/review/conflict service,Side-by-side facts CTA,Versioned relation,,Match/mismatch/no policy,,RG-CP-03,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-008/009/031,RG-CP-03,No auto-verify or source overwrite,TODO,
M05-TASK-014,M05,14,Реализовать asset model,CRUD with owner/evidence/access,Asset cards,Exact asset enum,,Asset 30m,,RG-CP-03/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-019/020/021,RG-CP-03,Asset not in DP without source,TODO,
M05-TASK-015,M05,15,Реализовать down_payment_source,CRUD mechanism/link/availability/status,Source list,Exact source enum,,All source types,,RG-CP-03/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-017…025,RG-CP-03,Owner/amount/status/date/evidence complete,TODO,
M05-TASK-016,M05,16,Исключить collateral из cash,Aggregation filter,Separate collateral block,non-monetary flag/source,,CP-021 exact,,Нет,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-021,,0 collateral value in cash totals,TODO,
M05-TASK-017,M05,17,Рассчитать availability totals,Deterministic neutral aggregates,Now/future/restricted labels,Dates/status inputs,,Boundary dates/restricted,,RG-CP-04/05,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-024/025,RG-CP-04,Future never in available_now,TODO,
M05-TASK-018,M05,18,Реализовать reconciliation,POST reconcile + version/input refs,Target/sources/gap/status,Reconcile result,,5m/5m and 5m/3m,,RG-CP-01/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-017/018,RG-CP-01,Exact PASS/gap 2m; UNKNOWN not 0,TODO,
M05-TASK-019,M05,19,Создать non_credit_commitment,CRUD separate from M03 loans,Separate section,Approved neutral enum,,Alimony/unknown,,RG-CP-06/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-026…028,RG-CP-06,No loan duplication; unknown amount null,TODO,
M05-TASK-020,M05,20,Реализовать field status model,Unified state validation,Russian human messages,Status/reason refs,,All transitions/boundaries,,RG-CP-03/05,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-016/028/031/032,RG-CP-03,0/blank/unknown/NA distinct,TODO,
M05-TASK-021,M05,21,Реализовать provenance/evidence,Source/evidence resolver + allowlist,Badge/date/quality/viewer,Refs/hashes/versions,,Broken/foreign refs,,RG-CP-03,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,AT-CP-UI-001,RG-CP-03,Every critical field traceable,TODO,
M05-TASK-022,M05,22,Реализовать conflicts,Create/resolve without precedence,Compare facts/dates/sources,Conflict entity/status,,Sender/employer/manual conflict,,RG-CP-01/03,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-009/031,RG-CP-01,Both facts preserved; explicit review,TODO,
M05-TASK-023,M05,23,Реализовать corrections,Append revision; recompute deps,Correct + reason/evidence/history,before/after/actor/time,,Verified correction,,Evidence policy,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-030,,Source preserved; new revision/snapshot,TODO,
M05-TASK-024,M05,24,Собрать dynamic questionnaire,Versioned question/branch registry,6–8 short sections,Rule/version refs,,All CP branch rules,,RG-CP-01/04,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-001…028,RG-CP-01,No irrelevant/duplicate questions,TODO,
M05-TASK-025,M05,25,Реализовать completeness/CPG,CPG-01…08 evaluator,Section statuses + blockers,Decision/input refs,,Unknown/conflict/missing,,RG-CP-01/03/05,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-032,RG-CP-01,Publish decision deterministic/replayable,TODO,
M05-TASK-026,M05,26,Реализовать freshness/rebuild,Subscribe/select new upstream; supersede,STALE/update/rebuild CTA,selected refs/history,,New CH snapshot,,RG-CP-05,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-029,RG-CP-05,Old profile immutable; new ref used,TODO,
M05-TASK-027,M05,27,Реализовать publish snapshot,Immutable payload/hash/idempotency,Confirm profile CTA,Schema/input hashes,,CPG pass/fail/replay,,RG-CP-01…05,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-032/034/035,RG-CP-01,Exact replay; no bank fields/raw PDF,TODO,
M05-TASK-028,M05,28,Собрать target M05 UI,Aggregate read model,Sticky summary + 7 sections,Refs only,,Desktop/mobile/keyboard,,Human copy,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,AT-CP-UI-001; AT-USA-013,,No horizontal critical-action blocker,TODO,
M05-TASK-029,M05,29,Исправить demo financial semantics,Expose domain/source/status,Rename/move ambiguous cards,Ownership map,,Screenshot regressions,,Нет,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-011/012/026,,No ambiguous verified/accepted labels,TODO,
M05-TASK-030,M05,30,Защитить tenant/PII/audit,M01 guards/RLS/redaction/audit,Safe errors,Allowlisted evidence,,Cross-tenant/log/export,,Security policy,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-033; AT-CP-UI-001,,Deny/no leak; critical actions audited,TODO,
M05-TASK-031,M05,31,Собрать CP regression suite,Fixtures/hooks/reporting,Golden UI states,FX-CP-001 no-PII,,CP-001…035 + CPG + API,,RG-CP-07,P0,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,AT-CP-SUITE-001,RG-CP-07,All applicable tests objective PASS,TODO,
M05-TASK-032,M05,32,Собрать end-to-end snapshot fixture,M01→M02 batch + M03/M04 snapshot refs→profile→publish,Full broker flow,Hashes/audit refs,,Replay/downstream raw PDF spy=0,,Synthetic approvals,P1,M05_CASA_Pro_Client_Profile_Implementation_and_Acceptance_v1.1,§32 Конкретный список работ Даулету,CP-034/035; AT-E2E-002,RG6|RG11,Downstream reads only cps ID/hash,TODO,
M06-TASK-001,M06,1,Зафиксировать module boundary и feature flags,Allowlist two formulas; KDN disabled,Hide forbidden M06 blocks,Registry config,,Forbidden-output tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-001/010,,Only 2 executable; REG disabled,TODO,
M06-TASK-002,M06,2,Создать versioned Formula Registry,Read-only approved records + validator,Formula/version in details,Registry release/version,,Registry snapshot test,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-001/007,,Exact IDs/versions/expressions,TODO,
M06-TASK-003,M06,3,Добавить REG-F-001 disabled record,Return null/DISABLED,Human KDN message,Future metadata retained,,No numeric KDN scan,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-001/010,,0.25 future metadata only,TODO,
M06-TASK-004,M06,4,Реализовать M05 snapshot loader,Tenant/case/id/hash/schema validation,Source link,No latest fallback,,Wrong hash/cross-tenant,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-002/003,,Exact immutable M05 ref,TODO,
M06-TASK-005,M06,5,Реализовать MetricResolver available_now_total,Resolve by metric key,Read-only status/as_of,value/currency/status/provenance,,Exact metric-key/schema/hash/status/provenance adapter tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-002/003,,Adapter tests PASS; OQ-CALC-01 = RESOLVED_FOR_1_0; no DP re-aggregation,TODO,
M06-TASK-006,M06,6,Реализовать InputBinder,Bind exact paths/parameters,No manual override of profile values,Canonical input envelope,,Schema/type tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-002,,Every input typed/unit/statused,TODO,
M06-TASK-007,M06,7,Реализовать StateEngine,All approved states + blockers,Human mappings,Stable blocker ordering,,State matrix suite,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-004/009,,UNKNOWN≠0; no partial,TODO,
M06-TASK-008,M06,8,Реализовать decimal context,Precision 50; explicit HALF_EVEN; no Number,N/A,Context version + decimal strings; final HALF_UP,,Context/float guard + exact fixture,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-005,,p50 HALF_EVEN internal; HALF_UP final,TODO,
M06-TASK-009,M06,9,Реализовать CALC-F-001,"max(P−A,0)",Neutral label,raw/persisted/display,,FX-FIN-001…009,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-001/008,,All FIN fixtures exact,TODO,
M06-TASK-010,M06,10,Реализовать CALC-F-002,Approved branches,P/a/n + disclaimer,raw/persisted/display,,FX-ANN-001…009,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,§29 Конкретный список работ Даулету — часть 1,AT-CALC-001/008/009,,All ANN fixtures exact,TODO,
M06-TASK-011,M06,11,Реализовать zero-principal / zero-rate branches,Explicit branch before denominator,Correct 0 labels,Branch marker,,ANN-002/003,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-008/009,,No divide-by-zero,TODO,
M06-TASK-012,M06,12,Реализовать Unit/Currency validator,KZT-only compatibility,Human blocker,Currency codes,,Mismatch/percent/month tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-006,,No FX conversion,TODO,
M06-TASK-013,M06,13,Реализовать error contract,Exact codes/status/null/refs,Russian messages/actions,No sentinel values,,All error cases,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-004/009,,No NaN/Infinity,TODO,
M06-TASK-014,M06,14,Реализовать calculation_run,Create/read; case scope,Run loading state,Immutable request/result,,API contract,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-003/012,,Run stores exact refs/results,TODO,
M06-TASK-015,M06,15,Реализовать idempotency,Key + canonical request hash,Prevent duplicate click,Unique scope,,Same/different hash tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-009/012,,Same request same result,TODO,
M06-TASK-016,M06,16,Реализовать calculation_snapshot,Publish partial/success,Read-only result details,Immutable payload,,Mutation rejection,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-012,,No update/delete of payload,TODO,
M06-TASK-017,M06,17,Реализовать CASA-CJ-1,Exact replay allowlist + canonical JSON + SHA-256,N/A,Registry/engine/context/formula versions included,,Published payload + golden hashes,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-005/012,,Canonical bytes and 3 hashes exact,TODO,
M06-TASK-018,M06,18,Реализовать replay service,Load exact old versions,No broker CTA,Replay audit,,Old-version/golden replay,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-007/012,,Byte-equivalent canonical output,TODO,
M06-TASK-019,M06,19,Реализовать recalculation flow,New M05/version → new run,Show stale/superseded status,Old snapshot retained,,No-mutation test,,,P1,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-007/012,,Old replay unchanged,TODO,
M06-TASK-020,M06,20,Реализовать security/audit,M01 guard + events + minimization,No PII/technical leaks,Append-only refs,,Tenant/log/audit tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 2,AT-CALC-003/012,,No cross-tenant/raw PDF/full IIN,TODO,
M06-TASK-021,M06,21,Собрать neutral M06 broker card,Expose source/status/version,Profile inputs + two results,N/A,,Desktop/mobile visual,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-003/010,,No mixed bank verdict,TODO,
M06-TASK-022,M06,22,Переименовать «Сумма кредита»,Output key unchanged,Required financing label,N/A,,Copy regression,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-010,,No approved-loan semantics,TODO,
M06-TASK-023,M06,23,Переименовать payment label,CALC-F-002 only,Exact label + disclaimer,N/A,,Copy/value test,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-001/010,,P/a/n/version visible,TODO,
M06-TASK-024,M06,24,Убрать «Принимаемый доход» из M06,No field/output,Remove card,Migration/absence,,API/UI scan,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-010,,No accepted income,TODO,
M06-TASK-025,M06,25,Заблокировать numeric KDN,REG disabled result only,No percentage; human text,No cached number,,DOM/API/snapshot scan,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-009/010,,No KDN number,TODO,
M06-TASK-026,M06,26,Убрать program verdicts из M06 surface,No rule execution,MOVE to Bank Rules,No M06 records,,Ownership scan,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-010,,No pass/fail in M06,TODO,
M06-TASK-027,M06,27,Убрать scenario orchestration из M06,No scenario persistence,MOVE cards/sliders,No profile mutation,,Forbidden endpoints/UI,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-010,,Only rate/term params remain,TODO,
M06-TASK-028,M06,28,Убрать property matching из M06,No property query,MOVE cards,No property snapshot,,Surface scan,,,P1,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-010,,No property verdict,TODO,
M06-TASK-029,M06,29,Автоматизировать all fixtures,Unit/service/API suites,Snapshot UI assertions,Fixture payloads versioned,,18 exact fixtures,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-008/009,,All exact PASS,TODO,
M06-TASK-030,M06,30,Автоматизировать golden E2E/replay,M01→M06 pipeline,Golden UI,Exact canonical payload + three hashes,,RG11 byte-for-byte evidence,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-012,RG11,Published payload and hashes exact,TODO,
M06-TASK-031,M06,31,Добавить AI boundary regression,Numeric API independent of AI,Explanation read-only,No AI write path,,AI off/on equality,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-011,,Same numbers/versions/hashes,TODO,
M06-TASK-032,M06,32,Собрать acceptance evidence package,Logs/registry/API snapshots,Screenshots,Hashes/schema,,AT-CALC-001…012 report,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-001…012,,Evidence attached; no self-PASS,TODO,
M06-TASK-033,M06,33,Назначить Formula Registry approval owner и approval workflow,Запретить APPROVED без owner/workflow; immutable approved record,Admin surface не даёт разработчику self-approve,Approval actor/decision/version/audit,,Permission + immutable/version/audit tests,,,P0,M06_CASA_Pro_Calculation_Engine_Implementation_and_Acceptance_v1.1,Конкретный список работ Даулету — часть 3,AT-CALC-007/012,,CEO/Product/Regulatory owner назначен; approver role определена; change=new version; approval audited,TODO,
